Status,VendorName,BillVendorId,M2MVendorID,CurrentCompanyName,Applied,Error,Note
Unmatched,L&S TRUCKING,,L&S,,,,No Bill.com vendor with a matching name.
Matched,Larson Electronics*,00901HOCMOEQLKM8vdes,LELLC,,,,
Matched,Lavi Industries,00901DIQKZXBQCJ8vd82,Lavi,,,,
Matched,Lowe's,00901YCHDMZNDEW8vd2n,LOWES,,,,
Unmatched,LYNCH FLUID CONTROLS,,LYNCHF,,,,No Bill.com vendor with a matching name.
Matched,Lynn Welding,00901CWDLWRSOQY8vd2o,Lynn,,,,
Matched,Mag Welding,00901TMNUPACKTB8vd2p,MAGWLD,,,,
Unmatched,MANTEC SERVICES INC.,,MANTEC,,,,No Bill.com vendor with a matching name.
Matched,Mark Gerard Machine,00901VZGWESHLSV8vd2x,MarkG,,,,
Unmatched,MARSHALL E. CAMPBELL COMPANY,,MEC,,,,No Bill.com vendor with a matching name.
Unmatched,MASTER ELECTRONICS,,MASELE,,,,No Bill.com vendor with a matching name.
Matched,Matheson Tri-Gas Inc.,00901JFJJREZKAZ8vdcv,MTGI,,,,
Unmatched,MAVERICK ABRASIVES,,MA,,,,No Bill.com vendor with a matching name.
Matched,Mazak Corporation,00901YAXVIECYZO8vdd5,Mazak,,,,
Matched,MB Machine,00901UTVJCMZQCP8vd2z,MBMach,,,,
Matched,McMaster-Carr,00901RYAKVNXFSN8vde7,MC,,,,
Unmatched,MERIT FASTENERS,,MERIT,,,,No Bill.com vendor with a matching name.
Unmatched,MES PAINT & DETAIL,,MES,,,,No Bill.com vendor with a matching name.
Unmatched,METALS DEPOT INTERNATIONAL,,MDI,,,,No Bill.com vendor with a matching name.
Matched,Metnology,00901ASNGMVDNEV8vdf3,metno,,,,
Matched,MF Supply,00901FIDBLMYZRE8vd00,MF,,,,
Unmatched,MFG.COM,,MFG,,,,No Bill.com vendor with a matching name.
Matched,Military-Fasteners,00901XKENKZZSMK8vd05,MILFAS,,,,
Matched,Miller/Motion,00901SVVYYPGXOX8vd2w,MOTION,,,,
Unmatched,MITSUBISHI ELECTRIC,,MTSE,,,,No Bill.com vendor with a matching name.
Unmatched,MOCAYO PRECISION,,mocayo,,,,No Bill.com vendor with a matching name.
Unmatched,MONROE AEROSPACE,,monroe,,,,No Bill.com vendor with a matching name.
Matched,MSC/J&L Industrial,00901OYWQSGVNSM8vd5b,MSC,,,,
Matched,N.T. Ruddock Company,00901OQICOXHZNM8vd2u,NTRUD,,,,
Matched,NJC Machine Co.,00901NRTYPBPNDU8vd32,NJC,,,,
Matched,Northern Tool,00901ZXMIKGXBSC8vd33,NTOOL,,,,
Matched,"Northwest Rubber Extruders, Inc.",00901GIVWXVOXNT8vd61,NWRE,,,,
Unmatched,NOVA METAL PRODUCTS,,NovaM,,,,No Bill.com vendor with a matching name.
Unmatched,NTS ORLANDO,,NTS,,,,No Bill.com vendor with a matching name.
Matched,Office Depot,00901RXXOUGFVEX8vd35,ODEPO,,,,
Unmatched,ONLINEMETALS.COM,,OM,,,,No Bill.com vendor with a matching name.
Ambiguous,OPTISOLUTIONS LLC,,OS,,,,2 Bill.com vendors share this name; City/Zip did not resolve a single match.
Matched,Orange County Comptroller,00901ORCTFLXIXI8vd5d,OCC,,,,
Unmatched,ORANGE COUNTY CONVENTION CENTER,,OCCC,,,,No Bill.com vendor with a matching name.
Matched,Orange County Tax Collector,00901BKJFACQDCQ8vd36,OCTC,,,,
Matched,Orange County Utilities,00901DTJAWPEUYS8vd8q,OCU,,,,
Unmatched,O'REILLY AUTO PARTS,,OREILL,,,,No Bill.com vendor with a matching name.
Unmatched,OSHCUT,,OSHCUT,,,,No Bill.com vendor with a matching name.
Unmatched,"OUTDOOR LIVING PRODUCTS, INC",,OUTLIV,,,,No Bill.com vendor with a matching name.
Unmatched,PACKAGING CORPORATION OF AMERICA,,PCA,,,,No Bill.com vendor with a matching name.
Unmatched,PALLET PEOPLE,,PELLET,,,,No Bill.com vendor with a matching name.
Matched,Palmer Electric,00901GNBIWSSWJW8vdf6,Palmer,,,,
Matched,Paylocity,00901ZOGVLWBIRJ8vdej,pay,,,,
Matched,PE Manufacturing,00901AUUBZWJTMK8vd3a,PEMFG,,,,
Unmatched,PEAK MACHINE SHOP,,peak,,,,No Bill.com vendor with a matching name.
Unmatched,Peninsula Metal Finishing,,PMF,,,,No Bill.com vendor with a matching name.
Matched,"PeopleReady Florida, Inc.",00901COONDLZUVL8vdc4,PEOPLE,,,,
Matched,Performance Powder Coating,00901QXYUAQVXHS8vd7w,PPC,,,,
Matched,PGI Steel,00901CGHDRVFNRI8vd8h,PGIS,,,,
Unmatched,PHENTER SALES,,PHENSA,,,,No Bill.com vendor with a matching name.
Matched,Phoenix Metals,00901IZNOJOQJKW8vdbe,PHOMET,,,,
Unmatched,PIPING NOW,,PipNow,,,,No Bill.com vendor with a matching name.
Unmatched,"PLATINUM NDT, LLC",,PLANDT,,,,No Bill.com vendor with a matching name.
Matched,Powder Addiction,00901CMQNNPIEXK8vddf,PADCT,,,,
Unmatched,PPG PAINTS,,PPG,,,,No Bill.com vendor with a matching name.
Unmatched,PRACTICAL TEK LLC.,,PTEK,,,,No Bill.com vendor with a matching name.
Matched,"Precise Barrels, LLC.",00901FKNXMJRBUE8vd3h,PRECIB,,,,
Unmatched,PRECISECAST PROTOTYPE & ENGINEERING,,PRECIC,,,,No Bill.com vendor with a matching name.
Unmatched,PRIMARY MACHINE,,PRM,,,,No Bill.com vendor with a matching name.
Unmatched,PROAIRSUPPLY,,PAS,,,,No Bill.com vendor with a matching name.
Unmatched,"PURITAS METAL PRODUCTS, INC.",,PMPI,,,,No Bill.com vendor with a matching name.
Unmatched,QBUILD ERP ENGINEERING INTEGRATION,,Qbuild,,,,No Bill.com vendor with a matching name.
Unmatched,QUANTUM MACHINERY GROUP (SIEGMUND),,SIEGMU,,,,No Bill.com vendor with a matching name.
Unmatched,QUINGDAO JINGHONG PRECISION IND CO,,QUINGD,,,,No Bill.com vendor with a matching name.
Matched,R.S. Hughes,00901BZSWPVMGMF8vd3d,RSHUS,,,,
Unmatched,RADWELL INTERNATIONAL,,RADWEL,,,,No Bill.com vendor with a matching name.
Unmatched,RAGLADY,,RAGLAD,,,,No Bill.com vendor with a matching name.
Matched,Reliable Hardware,00901HICUDWKNFB8vd3g,RELIAB,,,,
Unmatched,RESPSAFETY,,RESPSA,,,,No Bill.com vendor with a matching name.
Unmatched,RIGGINGWAREHOUSE.COM,,RIGWHS,,,,No Bill.com vendor with a matching name.
Matched,Ring Power Corp.,00901IOEFMRLRZP8vdbb,RINGP,,,,
Unmatched,ROBERTS OXYGEN,,ROBERT,,,,No Bill.com vendor with a matching name.
Unmatched,ROKAP FOD SIGNS,,ROKAP,,,,No Bill.com vendor with a matching name.
Unmatched,RYERSON - TAMPA,,RYERSO,,,,No Bill.com vendor with a matching name.
Unmatched,"SACKETT REPAIR, LLC",,SACKTT,,,,No Bill.com vendor with a matching name.
Unmatched,SAFERITE SOLUTIONS,,SAFRIT,,,,No Bill.com vendor with a matching name.
Matched,Safety-Kleen,00901VZRVUTSRLN8vdb7,SKLEEN,,,,
Unmatched,SAFETYSIGN.COM,,Safety,,,,No Bill.com vendor with a matching name.
Unmatched,SANDVIK COROMANT,,SANDVI,,,,No Bill.com vendor with a matching name.
Unmatched,SCOTCHMAN INDUSTRIES,,Scotch,,,,No Bill.com vendor with a matching name.
Unmatched,"SCR PRECISION TUBE BENDING, INC",,scrp,,,,No Bill.com vendor with a matching name.
Unmatched,SEA GEAR MARINE,,SEAGEA,,,,No Bill.com vendor with a matching name.
Matched,Seminole Metal Finishing,00901AODTWLUJOK8vdf2,SEMFIN,,,,
Matched,"Servtronics, Inc",00901JMQXASDYUA8vd5h,SINC,,,,
Unmatched,SEYMOUR PAINTS AND COATINGS,,SEYPAI,,,,No Bill.com vendor with a matching name.
Matched,Sherwin Williams Paint,00901EZKLKCHFXZ8vddb,SWP,,,,
Unmatched,SIERRA VICTOR IND.,,SVI,,,,No Bill.com vendor with a matching name.
Unmatched,SIGMASURPLUS.COM,,SigmaS,,,,No Bill.com vendor with a matching name.
Matched,Sky Geek,00901XCTDCNCDYC8vd3s,SGEEK,,,,
Unmatched,SKY MART,,SMart,,,,No Bill.com vendor with a matching name.
Matched,Solberg Manufacturing,00901SBTDZLKJKY8vd6n,SOLMFG,,,,
Unmatched,SOLIDEXPERTS,,SEXP,,,,No Bill.com vendor with a matching name.
Unmatched,SOUTH ATLANTIC LLC,,SAL,,,,No Bill.com vendor with a matching name.
Unmatched,SOUTHEAST TOYOTA FLORIDA,,TOYOTA,,,,No Bill.com vendor with a matching name.
Matched,Southern States Toyota Lift,00901ZNXMLNVJUM8vde8,SSLIFT,,,,
Unmatched,SPEED FABRICATION,,SPDFAB,,,,No Bill.com vendor with a matching name.
Unmatched,SPRAYER DEPOT,,SD,,,,No Bill.com vendor with a matching name.
Unmatched,STAN WEAVER & COMPANY,,SWC,,,,No Bill.com vendor with a matching name.
Matched,Stanley Steemer,00901HAXVAYLWNM8vd45,STANST,,,,
Matched,Staples,00901QEVAGHUXFY8vd46,STAP,,,,
Unmatched,STEWART STAINLESS,,STEWST,,,,No Bill.com vendor with a matching name.
Matched,Sunbelt Rentals Inc,00901XKYLTVUVQD8vdc3,SUNBLT,,,,
Unmatched,SUNCOAST PRECISION TOOLS,,SPT,,,,No Bill.com vendor with a matching name.
Unmatched,SUN-GLO PLATING CO.,,SGPC,,,,No Bill.com vendor with a matching name.
Matched,Sunstate Equipment Co.,00901JNDYSMUCMY8vd91,SUNST,,,,
Unmatched,SUPERIOR COATINGS OF AMERICA,,SUPCOA,,,,No Bill.com vendor with a matching name.
Unmatched,SUPPLY HOUSE.COM,,SUPHS,,,,No Bill.com vendor with a matching name.
Matched,Synergy Equipment,00901SPSJKJIJUC8vdcj,SYNEQP,,,,
Matched,Syntime Metal & Plastic Products,00901GPNCOGMGGF8vd02,SYNTIM,,,,
Matched,Tampa Bay Steel,00901DFKWTHQGZS8vdd7,TBS,,,,
Unmatched,TARGET,,TARG,,,,No Bill.com vendor with a matching name.
Unmatched,"TEAM, INC",,TEAMIN,,,,No Bill.com vendor with a matching name.
Matched,Texas First Rentals,00901UYIBVZWNKG8vd3y,TEXFIR,,,,
Matched,TexTrail,00901WXFNEZKCPY8vd3z,TEXTRA,,,,
Matched,Textron Aviation Inc.,00901NJLSXEMEKA8vd40,TEXTRO,,,,
Unmatched,THE GOODYEAR TIRE AND RUBBER CO,,TGTRC,,,,No Bill.com vendor with a matching name.
Unmatched,THOMSON INDUSTRIES INC.,,THOMSO,,,,No Bill.com vendor with a matching name.
Unmatched,"THREAD CHECK, INC.",,THRDCK,,,,No Bill.com vendor with a matching name.
Unmatched,THRIFTBOOKS.COM,,THRIFT,,,,No Bill.com vendor with a matching name.
Unmatched,TILE BY LIFE360,,Tile,,,,No Bill.com vendor with a matching name.
Unmatched,TOOLOTS.COM,,TLOTS,,,,No Bill.com vendor with a matching name.
Matched,Torchstar Lighting,00901WWWALXZYSL8vd0e,Torch,,,,
Unmatched,TRACEY TRUCK PARTS,,TTP,,,,No Bill.com vendor with a matching name.
Unmatched,TRACTOR SUPPLY COMPANY,,TSC,,,,No Bill.com vendor with a matching name.
Unmatched,TRAILER PARTS SUPERSTORE,,TPS,,,,No Bill.com vendor with a matching name.
Matched,Trick Tools,00901NGTJYAEZRQ8vd5r,TRICK,,,,
Matched,Tychon,00901QNKWSUCBDF8vd4a,Tychon,,,,
Matched,Uline,00901ORJXWKZNHK8vdds,ULINE,,,,
Matched,Unishippers,00901DYHMDOBENA8vd84,UNISHI,,,,
Unmatched,UNITED PARCEL SERVICES,,UPS,,,,No Bill.com vendor with a matching name.
Unmatched,UNITED RENTALS,,UR,,,,No Bill.com vendor with a matching name.
Unmatched,UNITED STATES TREASURY,,UST,,,,No Bill.com vendor with a matching name.
Matched,Universal Tool Engineering,00901OWMHINVTRD8vddi,UTE,,,,
Matched,US Logistics,00901CGNFJLVRDQ8vdbx,USLog,,,,
Matched,USAnchor,00901UJZVPQESZD8vd5i,USAnch,,,,
Unmatched,USPS,,USPS,,,,No Bill.com vendor with a matching name.
Unmatched,VALMONT TAMPA GALVANIZING,,VTG,,,,No Bill.com vendor with a matching name.
Matched,"Versa Integrity Group, Inc.",00901IMAUAMIWOE8vd4e,VIGI,,,,
Unmatched,VISTA PRINT,,Vista,,,,No Bill.com vendor with a matching name.
Unmatched,VOYA,,VOYA,,,,No Bill.com vendor with a matching name.
Unmatched,WALGREENS,,WALG,,,,No Bill.com vendor with a matching name.
Unmatched,WALMART,,WALMAR,,,,No Bill.com vendor with a matching name.
Unmatched,WASTE PRO,,WASTE,,,,No Bill.com vendor with a matching name.
Unmatched,WELDFABULOUS,,WELDFA,,,,No Bill.com vendor with a matching name.
Unmatched,WELDING SUPPLIES FROM IOC,,Weld,,,,No Bill.com vendor with a matching name.
Unmatched,WEST MARINE,,WESTMA,,,,No Bill.com vendor with a matching name.
Matched,Westbrook,00901GRZKDTWLDU8vde0,WB,,,,
Unmatched,WESTWAY ELECTRIC SUPPLY,,WESTWA,,,,No Bill.com vendor with a matching name.
Matched,Windsor Metal Finishing,00901PSHLOWCLNY8vd4j,WINDMF,,,,
Unmatched,WIRE & CABLE YOUR WAY,,WCYW,,,,No Bill.com vendor with a matching name.
Matched,Xometry Inc.,00901KWUZIKYNFW8vd8m,XOM,,,,
Unmatched,YANGZHOU HIRACE OUTDOOR CO. LTD,,Hirace,,,,No Bill.com vendor with a matching name.
Unmatched,YEAGER MANUFACTURING TECHNOLOGIES,,yeager,,,,No Bill.com vendor with a matching name.
Matched,Zoro Tools*,00901OBDSSNBSEI8vde5,ZOROT,,,,
Matched,Four Arrows Marketing LLC,00901LCEQFUXSRV8vdau,001251,,,,
Matched,KUL Office Furniture,00901UGFBCSFBLJ8vdbc,001252,,,,
Unmatched,Industrial General Store,,001253,,,,No Bill.com vendor with a matching name.
Matched,Metro Steel,00901ZZNUDYJOQR8vdce,001254,,,,
Unmatched,Discount Rubber Direct,,001255,,,,No Bill.com vendor with a matching name.
Matched,Bevel Corporation,00901QNTMJTVCNV8vdb3,001256,,,,
Matched,Epco,00901ACKUZBZLTC8vda3,001257,,,,
Matched,FFVA Mutual Insurance Company,00901JKTBZYKCEZ8vdb2,FFVA,,,,
Matched,HRthought,00901FSKXEMMJAX8vde2,HRTH,,,,
Ambiguous,HRThought LLC,,001289,,,,0 Bill.com vendors share this name; City/Zip did not resolve a single match.
Unmatched,Seastrom Manufacturing,,001261,,,,No Bill.com vendor with a matching name.
Matched,Weldtest Services,00901VKRPUTJDSG8vde4,WTS,,,,
Unmatched,Chicago Rolled Products Company,,001264,,,,No Bill.com vendor with a matching name.
Matched,Elite Metal Finishing,00901XYJGMIVJTT8vddv,001265,,,,
