Status,VendorName,BillVendorId,M2MVendorID,CurrentAccountNumber,Applied,Error,Note
Unmatched,PACKAGING CORPORATION OF AMERICA,,PCA,,,,No Bill.com vendor with a matching name.
Unmatched,PALLET PEOPLE,,PELLET,,,,No Bill.com vendor with a matching name.
AlreadySet,Palmer Electric,00901GNBIWSSWJW8vdf6,Palmer,326214,,,Existing accountNumber '326214' kept (would have set 'Palmer').
Matched,Paylocity,00901ZOGVLWBIRJ8vdej,pay,,,,
Matched,PE Manufacturing,00901AUUBZWJTMK8vd3a,PEMFG,,,,
Unmatched,PEAK MACHINE SHOP,,peak,,,,No Bill.com vendor with a matching name.
Unmatched,Peninsula Metal Finishing,,PMF,,,,No Bill.com vendor with a matching name.
AlreadySet,"PeopleReady Florida, Inc.",00901COONDLZUVL8vdc4,PEOPLE,001048906,,,Existing accountNumber '001048906' kept (would have set 'PEOPLE').
AlreadySet,Performance Powder Coating,00901QXYUAQVXHS8vd7w,PPC,16759,,,Existing accountNumber '16759' kept (would have set 'PPC').
Matched,PGI Steel,00901CGHDRVFNRI8vd8h,PGIS,,,,
Unmatched,PHENTER SALES,,PHENSA,,,,No Bill.com vendor with a matching name.
Matched,Phoenix Metals,00901IZNOJOQJKW8vdbe,PHOMET,,,,
Unmatched,PIPING NOW,,PipNow,,,,No Bill.com vendor with a matching name.
Unmatched,"PLATINUM NDT, LLC",,PLANDT,,,,No Bill.com vendor with a matching name.
Matched,Powder Addiction,00901CMQNNPIEXK8vddf,PADCT,,,,
Unmatched,PPG PAINTS,,PPG,,,,No Bill.com vendor with a matching name.
Unmatched,PRACTICAL TEK LLC.,,PTEK,,,,No Bill.com vendor with a matching name.
Matched,"Precise Barrels, LLC.",00901FKNXMJRBUE8vd3h,PRECIB,,,,
Unmatched,PRECISECAST PROTOTYPE & ENGINEERING,,PRECIC,,,,No Bill.com vendor with a matching name.
Unmatched,PRIMARY MACHINE,,PRM,,,,No Bill.com vendor with a matching name.
Unmatched,PROAIRSUPPLY,,PAS,,,,No Bill.com vendor with a matching name.
Unmatched,"PURITAS METAL PRODUCTS, INC.",,PMPI,,,,No Bill.com vendor with a matching name.
Unmatched,QBUILD ERP ENGINEERING INTEGRATION,,Qbuild,,,,No Bill.com vendor with a matching name.
Unmatched,QUANTUM MACHINERY GROUP (SIEGMUND),,SIEGMU,,,,No Bill.com vendor with a matching name.
Unmatched,QUINGDAO JINGHONG PRECISION IND CO,,QUINGD,,,,No Bill.com vendor with a matching name.
Matched,R.S. Hughes,00901BZSWPVMGMF8vd3d,RSHUS,,,,
Unmatched,RADWELL INTERNATIONAL,,RADWEL,,,,No Bill.com vendor with a matching name.
Unmatched,RAGLADY,,RAGLAD,,,,No Bill.com vendor with a matching name.
Matched,Reliable Hardware,00901HICUDWKNFB8vd3g,RELIAB,,,,
Unmatched,RESPSAFETY,,RESPSA,,,,No Bill.com vendor with a matching name.
Unmatched,RIGGINGWAREHOUSE.COM,,RIGWHS,,,,No Bill.com vendor with a matching name.
Matched,Ring Power Corp.,00901IOEFMRLRZP8vdbb,RINGP,,,,
Unmatched,ROBERTS OXYGEN,,ROBERT,,,,No Bill.com vendor with a matching name.
Unmatched,ROKAP FOD SIGNS,,ROKAP,,,,No Bill.com vendor with a matching name.
Unmatched,RYERSON - TAMPA,,RYERSO,,,,No Bill.com vendor with a matching name.
Unmatched,"SACKETT REPAIR, LLC",,SACKTT,,,,No Bill.com vendor with a matching name.
Unmatched,SAFERITE SOLUTIONS,,SAFRIT,,,,No Bill.com vendor with a matching name.
Matched,Safety-Kleen,00901VZRVUTSRLN8vdb7,SKLEEN,,,,
Unmatched,SAFETYSIGN.COM,,Safety,,,,No Bill.com vendor with a matching name.
Unmatched,SANDVIK COROMANT,,SANDVI,,,,No Bill.com vendor with a matching name.
Unmatched,SCOTCHMAN INDUSTRIES,,Scotch,,,,No Bill.com vendor with a matching name.
Unmatched,"SCR PRECISION TUBE BENDING, INC",,scrp,,,,No Bill.com vendor with a matching name.
Unmatched,SEA GEAR MARINE,,SEAGEA,,,,No Bill.com vendor with a matching name.
Matched,Seminole Metal Finishing,00901AODTWLUJOK8vdf2,SEMFIN,,,,
Matched,"Servtronics, Inc",00901JMQXASDYUA8vd5h,SINC,,,,
Unmatched,SEYMOUR PAINTS AND COATINGS,,SEYPAI,,,,No Bill.com vendor with a matching name.
AlreadySet,Sherwin Williams Paint,00901EZKLKCHFXZ8vddb,SWP,4445-4420-9,,,Existing accountNumber '4445-4420-9' kept (would have set 'SWP').
Unmatched,SIERRA VICTOR IND.,,SVI,,,,No Bill.com vendor with a matching name.
Unmatched,SIGMASURPLUS.COM,,SigmaS,,,,No Bill.com vendor with a matching name.
Matched,Sky Geek,00901XCTDCNCDYC8vd3s,SGEEK,,,,
Unmatched,SKY MART,,SMart,,,,No Bill.com vendor with a matching name.
Matched,Solberg Manufacturing,00901SBTDZLKJKY8vd6n,SOLMFG,,,,
Unmatched,SOLIDEXPERTS,,SEXP,,,,No Bill.com vendor with a matching name.
Unmatched,SOUTH ATLANTIC LLC,,SAL,,,,No Bill.com vendor with a matching name.
Unmatched,SOUTHEAST TOYOTA FLORIDA,,TOYOTA,,,,No Bill.com vendor with a matching name.
Matched,Southern States Toyota Lift,00901ZNXMLNVJUM8vde8,SSLIFT,,,,
Unmatched,SPEED FABRICATION,,SPDFAB,,,,No Bill.com vendor with a matching name.
Unmatched,SPRAYER DEPOT,,SD,,,,No Bill.com vendor with a matching name.
Unmatched,STAN WEAVER & COMPANY,,SWC,,,,No Bill.com vendor with a matching name.
Matched,Stanley Steemer,00901HAXVAYLWNM8vd45,STANST,,,,
Matched,Staples,00901QEVAGHUXFY8vd46,STAP,,,,
Unmatched,STEWART STAINLESS,,STEWST,,,,No Bill.com vendor with a matching name.
AlreadySet,Sunbelt Rentals Inc,00901XKYLTVUVQD8vdc3,SUNBLT,818425,,,Existing accountNumber '818425' kept (would have set 'SUNBLT').
Unmatched,SUNCOAST PRECISION TOOLS,,SPT,,,,No Bill.com vendor with a matching name.
Unmatched,SUN-GLO PLATING CO.,,SGPC,,,,No Bill.com vendor with a matching name.
AlreadySet,Sunstate Equipment Co.,00901JNDYSMUCMY8vd91,SUNST,176382,,,Existing accountNumber '176382' kept (would have set 'SUNST').
Unmatched,SUPERIOR COATINGS OF AMERICA,,SUPCOA,,,,No Bill.com vendor with a matching name.
Unmatched,SUPPLY HOUSE.COM,,SUPHS,,,,No Bill.com vendor with a matching name.
AlreadySet,Synergy Equipment,00901SPSJKJIJUC8vdcj,SYNEQP,12171,,,Existing accountNumber '12171' kept (would have set 'SYNEQP').
Matched,Syntime Metal & Plastic Products,00901GPNCOGMGGF8vd02,SYNTIM,,,,
AlreadySet,Tampa Bay Steel,00901DFKWTHQGZS8vdd7,TBS,TPAIV-470479,,,Existing accountNumber 'TPAIV-470479' kept (would have set 'TBS').
Unmatched,TARGET,,TARG,,,,No Bill.com vendor with a matching name.
Unmatched,"TEAM, INC",,TEAMIN,,,,No Bill.com vendor with a matching name.
Matched,Texas First Rentals,00901UYIBVZWNKG8vd3y,TEXFIR,,,,
AlreadySet,TexTrail,00901WXFNEZKCPY8vd3z,TEXTRA,26715,,,Existing accountNumber '26715' kept (would have set 'TEXTRA').
Matched,Textron Aviation Inc.,00901NJLSXEMEKA8vd40,TEXTRO,,,,
Unmatched,THE GOODYEAR TIRE AND RUBBER CO,,TGTRC,,,,No Bill.com vendor with a matching name.
Unmatched,THOMSON INDUSTRIES INC.,,THOMSO,,,,No Bill.com vendor with a matching name.
Unmatched,"THREAD CHECK, INC.",,THRDCK,,,,No Bill.com vendor with a matching name.
Unmatched,THRIFTBOOKS.COM,,THRIFT,,,,No Bill.com vendor with a matching name.
Unmatched,TILE BY LIFE360,,Tile,,,,No Bill.com vendor with a matching name.
Unmatched,TOOLOTS.COM,,TLOTS,,,,No Bill.com vendor with a matching name.
Matched,Torchstar Lighting,00901WWWALXZYSL8vd0e,Torch,,,,
Unmatched,TRACEY TRUCK PARTS,,TTP,,,,No Bill.com vendor with a matching name.
Unmatched,TRACTOR SUPPLY COMPANY,,TSC,,,,No Bill.com vendor with a matching name.
Unmatched,TRAILER PARTS SUPERSTORE,,TPS,,,,No Bill.com vendor with a matching name.
Matched,Trick Tools,00901NGTJYAEZRQ8vd5r,TRICK,,,,
Matched,Tychon,00901QNKWSUCBDF8vd4a,Tychon,,,,
AlreadySet,Uline,00901ORJXWKZNHK8vdds,ULINE,174726930,,,Existing accountNumber '174726930' kept (would have set 'ULINE').
AlreadySet,Unishippers,00901DYHMDOBENA8vd84,UNISHI,240905W001919,,,Existing accountNumber '240905W001919' kept (would have set 'UNISHI').
Unmatched,UNITED PARCEL SERVICES,,UPS,,,,No Bill.com vendor with a matching name.
Unmatched,UNITED RENTALS,,UR,,,,No Bill.com vendor with a matching name.
Unmatched,UNITED STATES TREASURY,,UST,,,,No Bill.com vendor with a matching name.
Matched,Universal Tool Engineering,00901OWMHINVTRD8vddi,UTE,,,,
AlreadySet,US Logistics,00901CGNFJLVRDQ8vdbx,USLog,1133180,,,Existing accountNumber '1133180' kept (would have set 'USLog').
