Status,MatchType,VendorName,M2MVendorName,BillVendorId,M2MVendorID,CurrentCompanyName,Applied,Error,Note
Matched,Exact,Florida Department of Revenue,FLORIDA DEPARTMENT OF REVENUE,00901DCJAZNKIUR8vdbz,FDR,,true,,
Matched,Exact,Florida Department of State,FLORIDA DEPARTMENT OF STATE,00901HNZZLNYFPZ8vd1t,FDS,,true,,
Matched,Exact,Florida Lift Gas,FLORIDA LIFT GAS,00901HWIFFAEHNS8vdfa,flg,,true,,
Matched,Exact,Florida Metal Craft,"FLORIDA METAL CRAFT, INC",00901BJXZGFANVZ8vd1w,FLMETC,,true,,
Matched,Exact,Freight Quote.com,FREIGHT QUOTE.COM,00901TTZVGTQHTB8vd1u,FQ,,true,,
Matched,Exact,Globalindustrial.com,GLOBALINDUSTRIAL.COM,00901QWHTLIYUUQ8vgi5,GLOBAL,,false,Bill.com update vendor 00901QWHTLIYUUQ8vgi5 failed (400 BadRequest): : address.city: must not be blank; : address.zipOrPostalCode: must not be blank,
Matched,Exact,GMA Americas,GMA AMERICAS,00901LPMOZPWHEA8vd20,GMA,,true,,
Matched,Exact,Gordon Electric Supply,"GORDON ELECTRIC SUPPLY, INC.",00901KSLETCELBJ8vd1y,Gordon,,true,,
Matched,Exact,"Grainger, Inc.","GRAINGER, INC.",00901ITESRUSGUD8vddp,GI,,true,,
Matched,Exact,"Grizzly Industrial, Inc.",GRIZZLY INDUSTRIAL,00901EHUUQYGXPA8vdbr,GRIZIN,,true,,
Matched,Exact,Guden,GUDEN,00901MWZBIPYTTH8vd4r,Guden,,false,Bill.com update vendor 00901MWZBIPYTTH8vd4r failed (400 BadRequest): : address.city: must not be blank; : address.zipOrPostalCode: must not be blank,
Matched,Exact,Harbor Freight,HARBOR FREIGHT,00901GKYQMXZVHM8vd2d,HF,,true,,
Matched,Exact,Herc Rentals,HERC RENTALS,00901CXBDXCSFWW8vd87,Herc,,true,,
Matched,Exact,"Hexagon Manufacturing Intelligence, Inc.",HEXAGON MANUFACTURING INTELLIGENCE,00901KBQYQIGUAA8vdcw,HEXAGO,,true,,
Matched,Exact,Hirebotics,HIREBOTICS,00901YUDVROMTQB8vdf4,HIRBOT,,true,,
Matched,Exact,Hobby Lobby,HOBBY LOBBY,00901DGFDUPFCAZ8vgej,HL,,false,Bill.com update vendor 00901DGFDUPFCAZ8vgej failed (400 BadRequest): : address.city: must not be blank; : address.zipOrPostalCode: must not be blank,
Matched,Exact,Home Depot,HOME DEPOT,00901FPPNORCSCQ8vd26,HDEP,,false,Bill.com update vendor 00901FPPNORCSCQ8vd26 failed (400 BadRequest): : address.city: must not be blank; : address.zipOrPostalCode: must not be blank,
Matched,Exact,Hugg & Hall Equipment,HUGG & HALL EQUIPMENT CO,00901EIUWSGOCNC8vd8y,H&H,,true,,
Matched,Exact,Hydracheck,HYDRACHECK INC,00901AZCHESIQWB8vgfs,HYDCHE,,true,,
Matched,Exact,Hydradyne,HYDRADYNE,00901LOFIITYGZH8vgft,Hydrad,,true,,
